Codigo,Producto,Existencia,Precio venta,Precio mayoreo,Departamento,Actualizado
7506240630630,Pintura En Aerosol Blanco Mate,0.0,90.0,80.0,- Sin Departamento - (Eliminado 13/07/2025),2026-09-08 00:37:17
7506240668008,Pintura En Aerosol Gris Oscuro,0.0,90.0,80.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
7501206685860,PINTURA EN AEROSOL METALICO,0.0,95.0,0.0,FERREPAT,2026-09-08 00:37:17
7501206684986,PINTURA EN AEROSOL NEGRO BRILLANTE,0.0,95.0,0.0,FERREPAT,2026-09-08 00:37:17
7506240630586,Pintura En Aerosol Negro Brillante,0.0,90.0,80.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
7506240630609,Pintura En Aerosol Negro Mate,0.0,90.0,80.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
7506240630715,Pintura En Aerosol Negro Satin,0.0,90.0,80.0,- Sin Departamento - (Eliminado 13/07/2025),2026-09-08 00:37:17
7506240630685,Pintura En Aerosol Oro,0.0,90.0,80.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
7501206684962,PINTURA EN AEROSOL ROJO,1.0,95.0,0.0,FERREPAT,2026-09-08 00:37:17
7503175300508,PINZA CHOFER TRUPER,0.0,85.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
2753,PINZA CORTE DIAGONAL,0.0,130.0,0.0,LION TOOLS,2026-09-08 00:37:17
2752,PINZA CORTE DIAGONAL,0.0,110.0,0.0,LION TOOLS,2026-09-08 00:37:17
2750,PINZA DE CHOFER,0.0,75.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
2151,PINZA DE CHOFER,1.0,90.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
7501206643167,PINZA DE CHOFER PRETUL,0.0,106.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
7506240642817,PINZA DE ELCTRICISTA,0.0,120.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
7501206644829,Pinza De Electricista  9´´ Pretul,0.0,195.0,180.0,- Sin Departamento - (Eliminado 13/07/2025),2026-09-08 00:37:17
7501206644812,Pinza De Electricista Pretul,0.0,170.0,160.0,- Sin Departamento - (Eliminado 13/07/2025),2026-09-08 00:37:17
154,Pinza De Extension 10,0.0,100.0,0.0,LION TOOLS,2026-09-08 00:37:17
